date,gdp,investment,capital,employed,hours,total_hours,capacity_utilization
1980-01-01,7341.557,587.7108608790411,20329.595405448734,99862.33333333333,35.36666666666667,3531797.8555555553,84.0291
1980-04-01,7190.289,560.585185711242,20578.12490433091,98953.33333333333,35.1,3473262.0,80.0143
1980-07-01,7181.743,564.2167769928241,20826.47111072919,98899.0,35.03333333333333,3464761.6333333333,78.2504
1980-10-01,7315.677,575.8584991758953,21082.646969052214,99498.66666666667,35.266666666666666,3508986.311111111,80.7608
1981-01-01,7459.022,587.3170537702831,21346.349127941754,100239.0,35.300000000000004,3538436.7000000007,80.3862
1981-04-01,7403.745,599.1534309347209,21617.83988258792,100800.66666666667,35.266666666666666,3554903.5111111114,80.0311
1981-07-01,7492.405,613.0582400813835,21899.068111408298,100482.0,35.13333333333333,3530267.6,80.1772
1981-10-01,7410.768,627.4662448308504,22190.387541502718,100076.66666666667,35.0,3502683.3333333335,77.8036
1982-01-01,7295.631,614.6319580153141,22464.400983154897,99708.66666666667,34.699999999999996,3459890.733333333,75.7182
1982-04-01,7328.912,595.6185660982754,22715.194975119095,99745.0,34.8,3471125.9999999995,74.3826
1982-07-01,7300.896,578.5591704534468,22945.07992810547,99543.33333333333,34.766666666666666,3460789.8888888885,73.0266
1982-10-01,7303.817,568.5702572017701,23161.447274550163,99119.66666666667,34.63333333333333,3432844.455555556,71.452
1983-01-01,7400.066,559.9995152631515,23365.922678631163,99143.0,34.699999999999996,3440262.0999999996,72.1412
1983-04-01,7568.456,567.7328659583013,23574.992772190126,99945.0,34.86666666666667,3484749.0,73.6833
1983-07-01,7719.746,591.583989469322,23804.704800373675,101610.66666666667,34.93333333333333,3549599.288888889,76.1145
1983-10-01,7880.794,627.3151646637252,24066.621964826692,102588.0,35.13333333333333,3604258.4,77.9427
1984-01-01,8034.847,647.244008183944,24344.447590740394,103664.0,35.166666666666664,3645517.333333333,79.9779
1984-04-01,8173.67,677.3854591341487,24648.150093480508,105040.0,35.13333333333333,3690405.3333333335,80.8345
1984-07-01,8252.465,698.1560627156608,24967.961420204745,105362.66666666667,35.06666666666667,3694717.511111112,80.8866
1984-10-01,8320.199,714.5916726124972,25299.29930963495,105944.33333333333,35.0,3708051.6666666665,80.3721
1985-01-01,8400.82,722.6244725738397,25633.58402114073,106615.33333333333,34.86666666666667,3717321.288888889,80.0461
1985-04-01,8474.787,733.001985679042,25973.115034669303,106791.0,34.9,3727005.9,79.4801
1985-07-01,8604.22,724.6951621605419,26299.12748379062,107186.33333333333,34.8,3730084.3999999994,78.8058
1985-10-01,8668.188,737.8318689714449,26633.272406402088,108023.33333333333,34.833333333333336,3762812.777777778,78.7885
1986-01-01,8749.127,730.543449786859,26954.999844481314,108734.66666666667,34.833333333333336,3787590.8888888895,78.9106
1986-04-01,8788.524,715.7411569856855,27256.98653059875,109205.66666666667,34.63333333333333,3782156.2555555557,78.1747
1986-07-01,8872.601,707.5104017300959,27546.10701934431,109970.0,34.63333333333333,3808627.6666666665,78.2478
1986-10-01,8920.193,714.3393665687777,27837.61852466187,110492.0,34.63333333333333,3826706.2666666666,78.8403
1987-01-01,8986.367,697.4186609303576,28107.734674393672,111206.0,34.766666666666666,3866261.933333333,79.5204
1987-04-01,9083.256,711.4534972108852,28387.739425375392,112158.0,34.733333333333334,3895621.2,80.462
1987-07-01,9162.024,731.2049192784747,28683.197575117283,112866.66666666667,34.733333333333334,3920235.555555556,81.494
1987-10-01,9319.332,730.2704267763045,28973.18600211714,113526.66666666667,34.73333333333333,3943159.555555555,83.0275
1988-01-01,9367.502,736.093357353498,29264.546088729123,114093.33333333333,34.6,3947629.3333333335,83.5437
1988-04-01,9490.594,752.5548694887979,29567.895361779363,114623.0,34.6,3965955.8000000003,84.1398
1988-07-01,9546.206,757.2642967542504,29871.297704510805,115232.66666666667,34.53333333333333,3979368.0888888887,84.3545
1988-10-01,9673.405,767.8113810885671,30180.58995938212,115947.33333333333,34.6,4011777.7333333334,84.7851
1989-01-01,9771.725,780.1093214453729,30497.432573308208,116835.33333333333,34.56666666666667,4038608.0222222223,84.8922
1989-04-01,9846.293,790.6746961079514,30819.977083921367,117204.66666666667,34.46666666666667,4039654.1777777784,84.1482
1989-07-01,9919.228,810.7978929858608,31157.693790333222,117493.66666666667,34.46666666666667,4049615.044444445,83.0986
1989-10-01,9938.767,802.6361961091554,31482.064908272343,117774.33333333333,34.43333333333333,4055362.877777777,82.8359
1990-01-01,10047.386,812.9656655657117,31811.786456490052,119114.33333333333,34.43333333333333,4101503.5444444437,82.8631
1990-04-01,10083.855,802.4090064487923,32125.890178256253,118995.33333333333,34.300000000000004,4081539.9333333336,82.8926
1990-07-01,10090.569,808.0982207796438,32440.861677887086,118712.0,34.233333333333334,4063907.466666667,82.7607
1990-10-01,9998.704,795.3831221353465,32738.28332217096,118361.0,34.166666666666664,4044000.833333333,81.1365
1991-01-01,9951.916,779.4177328748104,33015.17420766117,117782.33333333333,34.1,4016377.566666667,79.3341
1991-04-01,10029.51,775.4793482784008,33283.876482531035,117729.33333333333,34.06666666666667,4010645.955555556,79.551
1991-07-01,10080.195,768.7914340311509,33541.76631085161,117660.0,34.1,4012206.0,80.4458
1991-10-01,10115.329,768.3494833770545,33795.2556253545,117678.66666666667,34.1,4012842.5333333337,80.3142
1992-01-01,10236.435,765.3485929831329,34041.85303340714,117958.33333333333,34.1,4022379.1666666665,79.769
1992-04-01,10347.429,790.1043509968576,34309.42097295988,118406.66666666667,34.266666666666666,4057401.777777778,80.6882
1992-07-01,10449.673,802.1948109011797,34584.97225196101,118753.0,34.233333333333334,4065311.0333333337,80.7853
1992-10-01,10558.648,823.2028629900675,34877.301919749305,118833.66666666667,34.2,4064111.4000000004,81.1108
1993-01-01,10576.275,831.3665028533496,35173.3080188046,119297.33333333333,34.23333333333333,4083945.3777777767,81.4367
1993-04-01,10637.847,847.7094744950359,35481.113448336866,119959.66666666667,34.333333333333336,4118615.2222222225,81.2488
1993-07-01,10688.606,854.5257005844448,35791.01034516198,120625.66666666667,34.36666666666667,4145502.077777778,81.217
1993-10-01,10833.987,885.338654771687,36126.96333372546,121152.0,34.43333333333333,4171667.1999999997,82.0506
1994-01-01,10939.116,894.7107965731922,36467.13164525084,121994.0,34.36666666666667,4192527.1333333333,82.5017
1994-04-01,11087.361,908.6370587485663,36816.00469565152,122596.0,34.5,4229562.0,83.3348
1994-07-01,11152.176,924.1654833308608,37175.05103113528,123245.0,34.53333333333333,4256060.666666666,83.6331
1994-10-01,11279.932,960.2136421863918,37564.63422785214,124449.66666666667,34.5,4293513.5,84.5083
1995-01-01,11319.951,995.7098736151956,37983.73362296695,124848.66666666667,34.43333333333333,4298955.755555555,84.541
1995-04-01,11353.721,1005.2628261029449,38405.95286912387,124629.33333333333,34.233333333333334,4266477.511111111,83.9403
1995-07-01,11450.31,1011.6935779624255,38828.121876533995,124933.66666666667,34.3,4285224.766666667,83.8138
1995-10-01,11528.067,1031.3254150782898,39263.44250160958,125221.33333333333,34.233333333333334,4286743.644444444,83.4628
1996-01-01,11614.418,1057.4997102731859,39718.255327429106,125542.0,34.13333333333333,4285166.933333334,82.9068
1996-04-01,11808.14,1085.69252736792,40194.27967406525,126280.0,34.300000000000004,4331404.000000001,83.5281
1996-07-01,11914.063,1119.8513160538475,40697.15592002359,127218.33333333333,34.36666666666667,4372070.055555555,83.4624
1996-10-01,12037.775,1148.255253314118,41220.71704198237,127840.33333333333,34.4,4397707.466666666,83.4843
1997-01-01,12115.472,1174.9029136515078,41762.889253837675,128495.66666666667,34.4,4420250.933333334,83.8515
1997-04-01,12317.221,1199.2812171531102,42321.11752182193,129339.66666666667,34.46666666666667,4457907.177777778,83.7821
1997-07-01,12471.01,1252.0602673353592,42923.55613499952,129950.33333333333,34.56666666666667,4491949.855555556,84.2884
1997-10-01,12577.495,1260.0930302028103,43524.780185091535,130503.66666666667,34.56666666666667,4511076.744444445,84.7877
1998-01-01,12703.742,1301.0301976691776,44157.712720025,130782.33333333333,34.5,4511990.5,84.0404
1998-04-01,12821.339,1345.0204918032787,44824.92014684447,131259.33333333334,34.43333333333333,4519696.377777778,82.9737
1998-07-01,12982.752,1366.296661288052,45503.162227384084,131568.33333333334,34.46666666666667,4534721.88888889,82.2173
1998-10-01,13191.67,1406.1502056943134,46210.84695658618,132293.66666666666,34.46666666666667,4559721.711111111,82.1899
1999-01-01,13315.597,1437.2724209519463,46938.79106586275,132943.33333333334,34.4,4573250.666666667,82.092
1999-04-01,13426.748,1475.3841124550509,47693.67305356534,133214.66666666666,34.36666666666667,4578144.044444445,81.9329
1999-07-01,13604.771,1517.5759831014896,48479.159607177135,133570.66666666666,34.36666666666667,4590378.577777778,81.7611
1999-10-01,13827.98,1524.2605683817183,49259.27366666872,134275.0,34.4,4619060.0,82.2781
2000-01-01,13878.147,1580.0856367736944,50083.23818198452,136619.33333333334,34.4,4699705.066666666,82.1844
2000-04-01,14130.908,1629.407479886932,50943.876831119705,136946.66666666666,34.333333333333336,4701835.555555556,82.3337
2000-07-01,14145.312,1647.1104029828098,51809.00775260189,136695.33333333334,34.266666666666666,4684093.422222222,81.484
2000-10-01,14229.765,1653.304786167272,52667.05345093521,137341.33333333334,34.13333333333333,4687917.511111111,80.5011
2001-01-01,14183.12,1638.4900074019247,53497.113521089595,137724.33333333334,34.1,4696399.766666668,78.7803
2001-04-01,14271.694,1604.6006424565799,54280.542951318224,137088.0,34.0,4660992.0,77.1047
2001-07-01,14214.516,1585.630232837385,55032.97646900661,136719.33333333334,33.9,4634785.4,75.3994
2001-10-01,14253.574,1540.0867958766494,55728.316828577845,136225.66666666666,33.766666666666666,4599886.677777777,74.0767
2002-01-01,14372.785,1503.1473580571055,56376.04439903265,136105.33333333334,33.800000000000004,4600360.266666668,74.195
2002-04-01,14460.848,1486.2106346633964,56996.89274267225,136360.0,33.9,4622604.0,75.1012
2002-07-01,14519.633,1481.3947614079402,57603.395301003184,136806.66666666666,33.86666666666667,4633185.777777777,75.4847
2002-10-01,14537.58,1461.4924357200887,58180.68582685531,136651.66666666666,33.8,4618826.333333333,75.5209
2003-01-01,14614.141,1468.7944982035401,58756.41710792176,137444.33333333334,33.666666666666664,4627292.555555556,76.1036
2003-04-01,14743.567,1509.4386712753858,59363.955188922075,137655.66666666666,33.63333333333333,4629818.922222222,75.6479
2003-07-01,14988.782,1541.406189448043,59994.13518621462,137544.0,33.63333333333333,4626063.2,76.201
2003-10-01,15162.76,1560.6860187477891,60633.92186152381,138273.0,33.699999999999996,4659800.1,76.9502
2004-01-01,15248.68,1545.1248815113638,61248.32678750835,138489.0,33.733333333333334,4671695.600000001,77.5055
2004-04-01,15366.85,1583.6806468577438,61891.85647210521,138902.0,33.699999999999996,4680997.399999999,77.9699
2004-07-01,15512.619,1628.9206793294136,62570.74812255625,139538.66666666666,33.733333333333334,4707104.355555556,78.429
2004-10-01,15670.88,1662.390110486444,63272.68833763752,140029.33333333334,33.766666666666666,4728323.822222223,79.4703
2005-01-01,15844.727,1686.5862970092594,63988.05008133221,140428.0,33.733333333333334,4737104.533333333,80.4239
2005-04-01,15922.782,1713.8866626059266,64719.7315146284,141525.66666666666,33.733333333333334,4774132.488888889,80.6027
2005-07-01,16047.587,1749.6299766805448,65475.925081660724,142287.0,33.733333333333334,4799814.8,79.9098
2005-10-01,16136.734,1763.137930305784,66234.01916507077,142599.66666666666,33.8,4819868.733333332,80.2659
2006-01-01,16353.835,1822.2665602553873,67039.60526859331,143449.33333333334,33.833333333333336,4853369.111111112,80.6599
2006-04-01,16396.151,1854.1274817136887,67864.68668964446,144067.66666666666,33.833333333333336,4874289.388888889,80.7278
2006-07-01,16420.738,1885.8948396007934,68708.87061498375,144547.33333333334,33.833333333333336,4890518.111111112,80.5892
2006-10-01,16561.866,1905.8673811118551,69560.06900817952,145606.0,33.86666666666667,4931189.866666667,80.2484
2007-01-01,16611.69,1940.1895034762813,70432.52377924658,146135.0,33.800000000000004,4939363.000000001,80.5201
2007-04-01,16713.314,1983.3346980552712,71334.73171876604,145850.66666666666,33.833333333333336,4934614.222222222,81.0006
2007-07-01,16809.587,2014.6404653163208,72254.39669355683,145943.66666666666,33.8,4932895.933333333,80.8241
2007-10-01,16915.191,2046.001987480919,73191.3064961247,146271.33333333334,33.8,4943971.066666666,80.9776
2008-01-01,16843.003,2054.522359278871,74122.35527105258,146206.66666666666,33.733333333333334,4932038.222222222,80.7844
2008-04-01,16943.291,2058.8332824738072,75043.4235354731,145925.66666666666,33.7,4917694.966666667,79.6509
2008-07-01,16854.295,2020.300577801937,75911.82086058709,145270.33333333334,33.6,4881083.2,76.9931
2008-10-01,16485.35,1902.3586916647664,76648.94655451366,144090.33333333334,33.43333333333333,4817420.144444444,73.4186
2009-01-01,16298.262,1758.6223766449014,77231.02118464599,141499.66666666666,33.199999999999996,4697788.933333333,69.0173
2009-04-01,16269.145,1704.8789865630565,77750.41768227443,140304.33333333334,33.03333333333333,4634719.811111111,66.9192
2009-07-01,16326.281,1694.8490430866852,78251.81159223111,139403.66666666666,33.1,4614261.366666666,68.0415
2009-10-01,16502.754,1706.2271853245725,78756.88733676077,138368.0,33.166666666666664,4589205.333333333,69.4456
2010-01-01,16582.71,1718.5838967170173,79266.56696950975,138590.0,33.23333333333333,4605807.666666666,71.2369
2010-04-01,16743.162,1775.3075689378657,79825.14678243811,139226.33333333334,33.36666666666667,4645518.655555556,73.0323
2010-07-01,16872.266,1823.65711565724,80423.50204094437,139337.66666666666,33.46666666666667,4663167.244444445,74.3656
2010-10-01,16960.864,1859.3791922068808,81048.3947288178,139154.66666666666,33.53333333333333,4666319.822222222,74.93
2011-01-01,16920.632,1857.1172839506173,81661.43351641449,139427.66666666666,33.46666666666667,4666179.244444445,75.4472
